file,column,ordinal,onset,offset,i,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
T101 14-02-10 Content Log Merged,LogClass_IS,1,0,130396,ni,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IS,2,130397,544905,i,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IS,3,544906,1572048,ni,,,,,,,quiz,
T101 14-02-10 Content Log Merged,LogClass_IS,4,1572049,6389445,i,,,,,,,discussed future math courses with students one by one,
T101 14-02-10 Content Log Merged,LogClass_IS,5,6389445,6482776,ni,,,,,,,,
