file,column,ordinal,onset,offset,code01,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
T101 14-02-10 Content Log Merged,LogClass_TO_MathPresent,1,0,339959,nm,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_TO_MathPresent,2,339960,1689809,m,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_TO_MathPresent,3,1689810,1997402,nm,,,,,,,rearranging desks to regroup and discussing future curriculum,
T101 14-02-10 Content Log Merged,LogClass_TO_MathPresent,4,1997403,6295958,m,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_TO_MathPresent,5,6295959,6482775,nm,,,,,,,,
