file,column,ordinal,onset,offset,nameoftask,taskonserver,knowwhattaskis,notesep,notesed,notesck,notesnm,notesbb,notesjm,notesap,notesaw,noteshh,notestm
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_TaskUsed,1,215774,1017165,Calculus AB Opener C8D9,y,y,,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_TaskUsed,2,1176248,2708859,Observation 2 Team Practice Task,y,y,,,,,,,,,,
